Content,Url,Date
"This lamp comes unassembled but is easy and fun to snap the arms into the central pieces. I ordered ""warm oak"" but what I received is not at all the light honey tone I was expecting from the photo, but it is nice anyway. Looks great with a decorative Edison-style LED bulb. Very fast shipping and response.",-,-
"I can't  speak more highly of the wonderful service and communication from this Etsy shop. Well packaged with detailed instructions. I would highly  recommend purchasing from Dezaart. Have yet to put shade together and install, will include a photo later. Thank you Anthanasios for your professionalism. 🙏",-,-
"LOVE the fixture. High quality and the shadow design it leaves is beautiful. 

The videos showing how to assemble the fixture and connect it was very helpful.  A few challenges…1) the ground wire install had zero instructions and the wire was too small 2) on the assembly instructions step 6 did not apply, perhaps the design has changed? 3) as other people wrote, it is tricky to install each piece and until you get the hang of it, I broke one by using too much force. Thankfully you all sent an extra piece or two.",-,2023-12-17T00:00:00.0000000Z
"Wow! Wow! Wow…. Fantastic from beginning to end! Super quick delivery from Greece to UK.. packaged extremely well and the quality and craftsmanship is superb and finally the instructions for both the build and installation were perfect.

What more is there to say, except THANK YOU, great to support a small business offering great engineered products.",-,-
"Beautiful piece at a great price,  fast shipping and excellent communication/customer service. Easy to put together (after watching the how-t video 😊). Haven’t hung it yet, but it will look fab when I do!",-,-
I just had the pendant light installed over my dining table and it looks just perfect.   It also was pretty quick to assemble and I was careful when doing it so had no issues with breakage.  So I'm looking forward to enjoying it every day!,-,-
"A couple of the tines/fins arrived broken (typical FedEx), and the guys shipped out replacements super quick. Very responsive and helpful all the way. Very nicely made light fixture and dead simple to install. Thank you again!!!",-,-
"Very beautiful chandelier, be careful it is very fragile especially at the level of the hoops so to assemble with care taking your time
There are 3 extra hoops just in case.",-,2023-12-16T00:00:00.0000000Z
"Love it! 
We we had been searching for quite a while for a unique shade that we both loved... my only concern being, if one of the slats ever breaks, I hope we can order replacements, as the replacements that came with it (thankyou) we had to use, this was due to glue being on some of the slats, however we love this so much.",-,-
"Love this chandelier! Ours came with some damaged pieces. The seller was very responsive and luckily sent me 3 extra pieces. We ended up needing all of them because more were damaged when we hung it. While this is a beautiful piece of work, IT IS FRAGILE. The video makes it look really easy to snap in but the pieces are very delicate so take your time! All in all we love it and happy with the purchase!",-,-
"So pleased with the two shades I ordered. Arrived quickly, well packaged and easy to assemble and hang. Such an unusual and quirky design which has been admired by everyone who has seen it.",-,-
"The lamp corresponds fully to the description. The assembly was problem-free. The YouTube instructions are an excellent source of assistance.
A wonderfully stylish and, above all, individual addition to our newly designed bedroom. We recommend!",-,-
"This is our second light and just like the first time, this didn’t disappoint. Came packed carefully and was easy to put together. The seller reached out pretty quickly to confirm the order and ask questions regarding customization.",-,-
"Quick delivery and item exactly as described. Very helpful with responding to questions prior to purchase. 
Directions for assembly clear and easy to follow. 
Spare parts included with order and a surprise gift made it extra special.",-,-
This light is elegant and unique. Lighter in color than the photos and very light weight. Easy to assemble and as other reviews mentioned it is very fragile. Surprisingly arrived quickly to the US from Greece and with zero damage. Really enjoying the look!,-,2023-09-16T00:00:00.0000000Z
"Beautiful! Received the item in a timely manner, we love it!  There is a bit more assembly than i expected, and one of the wood pieces broke when I was putting it together but they included extra pieces for that reason, so it all worked out.  The light is beautiful!",-,2023-09-07T00:00:00.0000000Z
"Gorgeous item. Arrived very quickly. Only took about 10 minutes to put together, and the pieces weren't as fragile as I had expected from other reviews. The veneer came off one piece when I removed the tape holding the bundles together (only slightly), but the maker had included some spare pieces, which was brilliant. I didn't use the rose and cable supplied as I have swag fittings, but the shade fitted perfectly with a reducing ring. My next door neighbour has already asked where I got my beautiful light from. Would definitely buy from this seller again.",-,2023-09-06T00:00:00.0000000Z
LOVE this lamp so much!!! It's such a unique addition to our living room. The cast shadows are amazing and really set a tone for the space.  Super easy to assemble and install (with great instructions).,-,2023-08-29T00:00:00.0000000Z
"Fixture shipped sooner than expected & packaged well.

Putting the fixture together was also relatively easy & extra pieces were included. 

Definitely happy with the purchase! :)",-,2023-08-27T00:00:00.0000000Z
"This is a stunning lampshade and, now it's assembled, I am happy. However, the individual wooden arms are very very delicate and despite being very careful, I managed to break the 'tab' from 3 of them!!! There were 2 spares, so it can't just be me. I managed to glue the tab that fell off that was left, but be careful!!! Even more careful than me!",-,2023-08-18T00:00:00.0000000Z
"It’s beautiful, but be very careful when connecting the pieces. It is pressed wood so it can snap easily. I just glued my broken piece back on because it would be $30 shipping for the small piece needed.",-,2023-08-13T00:00:00.0000000Z
Gorgeous light fittings really pleased with how they look and arrived really quickly too. I was a bit daunted when I saw all the pieces in the box but so easy to assemble and the instructions are very clear.,-,2023-08-01T00:00:00.0000000Z
"Update:
The company reached out and refunded me roughly 50% of the lamp cost.

Unfortunately most of the wood pieces had scuffs on them near the gold buttons. I needed a light fixture and didn't have time for returning the damaged product nor did I want to pay for the return shipping. 

The wood pieces are very thin, and didn't line up great when assembling that the notches broke on a few of the wood legs. 

All in all once hanging it looks nice but would not buy this again.",-,2023-07-30T00:00:00.0000000Z
"Beautiful quality product!!! Great packaging.
The instructions for assembly were not so easy to follow but I appreciated the youtube link which made it super clear. I am in love with this light fixture.",-,2023-07-21T00:00:00.0000000Z
The light has flimsy material. It breaks easily and assembly wasn’t easy. Also I can tell they removed the previous trim and added the gold trim that I wanted. There are many scratches and I would like to return this product,-,-
"Perfect for our cottage !! Touch of modern to add to rustic look of our dinning room . I am stunned at the speed item was received !! Are you a Magician ?? My husband is pretty good at putting things together as he is an Industrial Designer an Artist . He said A+ on shipping, packinging and instructions . So happy!!  I have been waiting to get rid of our sad old light fixture!!! Cheers to you and your staff .",-,2023-07-17T00:00:00.0000000Z
A really lovely item that looks stunning in place. Well packaged to avoid any damage in transit and a little tricky to construct but well worth it. Excellent comms and quick response times. Buy with confidence.,-,2023-07-17T00:00:00.0000000Z
Beautiful! Absolutely matched the description and exceeded our expectations.  DEZAART was very helpful when I had questions about construction and even sent me replacement pieces when I broke one.  Highly recommend.,-,2023-07-04T00:00:00.0000000Z
Unbelievably beautiful light! Shipping was only 4 days - from Greece! It was very easy to assemble especially with the suggested YouTube link. The two extra pieces were not needed but appreciated. The two small bonus cutouts were a beautiful surprise and will hang on my Christmas tree. You won’t go wrong ordering one of their gorgeous lights! Highly recommend in all categories.,-,2023-06-21T00:00:00.0000000Z
Love my lights but not easy to put together like the video shows ! 4 pieces were broken & I broke 3 putting it together. Very flimsy but do look great when done,-,2023-06-18T00:00:00.0000000Z
"This light is awesome. Beautiful and easy to put together. The regular size is perfect above my dining table (table is 40"" x 80"" for reference). Love it! I'm glad there were a couple extra pieces included in case any break. 

It would be great to see an option that's thin plywood instead of MDF.",-,2023-06-13T00:00:00.0000000Z
