Date,Comments
"March 13, 2025",The shoes were ok.
"March 13, 2025",Exactly as pictured. Good deal.
"March 10, 2025",Very nice comfortable and well made shoes
"March 8, 2025",I got shoes 4 days early! Shoes are comfortable and reasonably priced considering Air Max. All shoes should be less than $100
"March 7, 2025",Absolutely love them long time Nike wearer and so far these are the best highly recommend.
"March 5, 2025",They arrived on time. Love my new shoes
"March 3, 2025","they're nike and if you want the torch 4, there are not a lot of options for where to find them these days.  fit me exactly as expected."
"March 3, 2025",my husband picked these out and he loves them!
"February 23, 2025","Comfort:""The Nike Max Torch 4s are incredibly comfortable. From the moment I put them on, they felt great.""""The cushioning is excellent, providing a smooth and comfortable ride.""Fit:""The fit is perfect. They feel true to size and provide a secure, locked-down feel.""""They have a roomy toe box, and the heel cup holds my heel in place very nicely.""Performance:""These shoes are fantastic for my runs. They're responsive and provide great energy return.""""I feel light and fast when I run in these. They're perfect for my daily mileage.""Durability:""They seem very well made. I've put a lot of miles on them and they are holding up very well.""Style:""I love the look of these shoes. They're stylish and modern.""Overall:""Overall, I'm extremely happy with the Nike Max Torch 4s. They're a fantastic running shoe that I would highly recommend."""
"February 16, 2025","Comfortable, and durable, the soles slide easily in water is my only complaint."
"February 4, 2025",I wear these at the gym. Very comfortable to work out in.
"February 1, 2025",As expected Nike quality but at an excellent price
"January 27, 2025","I bought these as a gift for a family member, and he really loves them."
"January 22, 2025","These shoes are authentic Nike Air, run true to size, I did return them as my son didn’t care for the feel of the Air style.  But, these are authentic, quality Nike."
"January 20, 2025",Translate review to English
"January 13, 2025","The shoes are great! Authentic, exactly what my husband wanted. The shipping however, kept getting delayed and I waited almost a month longer than what the shipping date was originally supposed to be."
"January 12, 2025","Nice shoe, my husband loved them"
"January 9, 2025",These are great Nike’s shoes.
"January 8, 2025",Translate review to English
"January 5, 2025",Fit is good. No problems.
"January 4, 2025",Nice looking and comfortable shoes
"January 4, 2025",I like the shoe and size as mentioned in the website. Better to buy this type of shoes online than to go to Mall.
"December 31, 2024",Good arch support
"December 29, 2024",I ended up grabbing these as a gift for a family member who loves Nike. They loved these sneakers and said that they're among the most comfortable ones they have in their collection.
"December 29, 2024",Love the shoes will buy again..
"December 28, 2024","A little on the pricey side, but the fit and quality of these sneakers is excellent. I have these for a while with almost daily use and they are holding up very well."
"December 20, 2024","Style, quality, and still available after my first purchase of the same shoe in 2020!!!😉"
"December 20, 2024",They are comfortable and long lasting
"December 19, 2024","Nike shoes are predictable.  Once you've tried a pair, you know your size and can always buy another pair knowing they will fit.My only beef is that they aren't all that durable.  The sole gives out in less than 1 year's time.  But they are comfy."
"December 6, 2024","Been a Nike shoe guy for a long time, these are the most narrow I’ve ever purchased."
"December 5, 2024","Son loved them, true to size"
"December 5, 2024",you won't be disappointed
"December 4, 2024",Great shoes new in box
"December 3, 2024","Nice look, supportive sneaker, would buy again."
"December 1, 2024",These shoes are very good quality and I have had alot of compliments on them there will last a long time because they are very durable and a good fit are light on your feet for extra comfort
"November 16, 2024","Love these shoes and it was first time buying Nikes from amazon and not the Nike website due to UPS delivery from Nike unable to get shoes to me, but these are great, highly recommend."
"November 16, 2024","Comfortable, love the colors and the fit."
"November 12, 2024",Good product for the price and fits and looks good.  Comfty pair of good shoes.
"November 12, 2024",As expected size and quality.
"November 3, 2024",Very comfortable
"October 31, 2024",Translate review to English
"October 26, 2024",I’ve been buying this exact sneaker for years in most of its color choices. I really like them and to order on line is easy because I know exactly what I’m getting from size fitment to quality. Like some I pull the original insole out right away and add one that has a bit more arch support and away I go. I know I’ll have this shoe for a couple years to rotate out with the other color choices I already have. Clearly the price and availability has turned into a real downer! Can’t just run to a shoe store to buy anymore and the price has doubled from years past!. Might have to move on someday!.
"October 26, 2024","One of the fabric loops that function for shoe lace eyelets ripped away from the main body of the shoe. I had to see it up myself to make the shoe functional, but it never looked right. It was that or go through the hassle if a return and not having shoes for jogging. The quality of the stitching is questionable. Some good aspects, but unreliable quality. Overall, I was left feeling disappointment."
"October 22, 2024",Very comfortable and durable. Stylish too.
"October 15, 2024",These are very comfortable and look awesome!
"October 13, 2024",Translate review to English
"October 11, 2024",They are exactly what I ordered.
"October 10, 2024",Hands down the best shoes Nike made for work.  I have not found any other shoes that are comfortable and durable.  Can't understand why Nike discontinued these.
"October 9, 2024","Love the style of shoe, and it feels good,also my feet feel elevated...I will buy this style of Nike again soon! :)"
"September 15, 2024","Color is great, worth the money. They fit great, durable, lightweight. Not to noisy."
"September 14, 2024",Good quality! Very comfortable I recommend them
"September 12, 2024",Translate review to English
"September 7, 2024",For work  it's good so far
"September 4, 2024",These shoes last . Very comfortable too!
"September 3, 2024",I love the style of the shoe.  A bit pricey from what i notmally pay. They fit great. The weight is good. Appears to be very durable.
"September 2, 2024",Translate review to English
"August 31, 2024","I used to own a pair a few years ago and they are hard to find. I enjoy how comfortable they are when running and working out. Good traction when powerlifting. Light weight for running, breathable so no smelly feet lol. I got them in black but I believe they come in white too. Durable as heck, I will hike in these. Give em a try."
"August 29, 2024",Comfortable for walking and jogging.
"August 26, 2024",Translate review to English
"August 25, 2024",Have bought these before for a gift. Comfortable. True to size. Good looking and unique.
"August 23, 2024",Very good shoes feel good on my feet.
"August 23, 2024",Perfect color
"August 20, 2024",I loved everything about them they fit better than any other pair I have ever bought and people will comment on how sharp and cool looking they are Very Satisfied
"August 10, 2024",They make two different Nike torch 4's and on this style I had to order a half size bigger to get them to fit comfortably.
"August 10, 2024",Very comfortable. Excellent price.
"August 8, 2024","These black Nikes are so sharp-looking, just as pictured. My 15 year-old grandson loves them. They arrived quickly."
"August 3, 2024",This shoe fit best for me because it was a narrow running shoe.  Most shoes are wide and just will not work for me. Quite pleased with this product. I will use for work and plan to purchase more very soon. Thank you. The price was more than what I expected.
"July 26, 2024","Authentic Nike product, right size and exactly what I expected."
"July 25, 2024","Great shoes; however, sole wears out too quick."
