Content,Tag
Absolutely magical experience for our first time  at Disneyland. We loved every second of it and can’t wait for our next trip.  We loved meeting all our favorite characters and the Star Wars ride was exhilarating  and so fun!  Seeing the castle for the first time was truly magical and was just brilliant. I really can’t wait for my next time!,Magic Atmosphere
Absolutely magical experience for our first time  at Disneyland. We loved every second of it and can’t wait for our next trip.  We loved meeting all our favorite characters and the Star Wars ride was exhilarating  and so fun!  Seeing the castle for the first time was truly magical and was just brilliant. I really can’t wait for my next time!,Ride Experience
Absolutely magical experience for our first time  at Disneyland. We loved every second of it and can’t wait for our next trip.  We loved meeting all our favorite characters and the Star Wars ride was exhilarating  and so fun!  Seeing the castle for the first time was truly magical and was just brilliant. I really can’t wait for my next time!,Family Experience
"This was a very magical experience. Everything was at a high standard including service and interior. We stayed in a deluxe room which also included the d lounge for breakfast and afternoon tea. I wasn't sure what to expect for afternoon tea, however, it included miniature savories as well as dessert and treats including your drinks. So instead of lunch we would often come back to the hotel and have afternoon tea. The staff couldn't do enough for you. I wish we could have stayed longer, however, we are planning on returning again this year. We drove here so parking was nice and easy and very safe.",Magic Atmosphere
"This was a very magical experience. Everything was at a high standard including service and interior. We stayed in a deluxe room which also included the d lounge for breakfast and afternoon tea. I wasn't sure what to expect for afternoon tea, however, it included miniature savories as well as dessert and treats including your drinks. So instead of lunch we would often come back to the hotel and have afternoon tea. The staff couldn't do enough for you. I wish we could have stayed longer, however, we are planning on returning again this year. We drove here so parking was nice and easy and very safe.",Customer Service
"This was a very magical experience. Everything was at a high standard including service and interior. We stayed in a deluxe room which also included the d lounge for breakfast and afternoon tea. I wasn't sure what to expect for afternoon tea, however, it included miniature savories as well as dessert and treats including your drinks. So instead of lunch we would often come back to the hotel and have afternoon tea. The staff couldn't do enough for you. I wish we could have stayed longer, however, we are planning on returning again this year. We drove here so parking was nice and easy and very safe.",Family Experience
"This was a very magical experience. Everything was at a high standard including service and interior. We stayed in a deluxe room which also included the d lounge for breakfast and afternoon tea. I wasn't sure what to expect for afternoon tea, however, it included miniature savories as well as dessert and treats including your drinks. So instead of lunch we would often come back to the hotel and have afternoon tea. The staff couldn't do enough for you. I wish we could have stayed longer, however, we are planning on returning again this year. We drove here so parking was nice and easy and very safe.",Planning Tips
"I went with my husband and we had a lovely experience, in the night its very beautiful and different. Would love repeating it😍😍😍😍",Overall Satisfaction
"I went with my husband and we had a lovely experience, in the night its very beautiful and different. Would love repeating it😍😍😍😍",Magic Atmosphere
"I went with my husband and we had a lovely experience, in the night its very beautiful and different. Would love repeating it😍😍😍😍",Family Experience
"I am going to write this review before visiting and will write another after we have been.  This review is based on the website and information gathering.  I think the website is shockingly bad.  To be able to gather simple information like location of rides, where to meet Mickey and simple information.  Terrible.  I have called 3 times to book into the Disneyland Hotel and each time the call did not deliver what I wanted.  First time the call handler was very off hand and did not explain all aspects, the second call I booked but did not get an email confirming the booking, the third call, I tried to book the Royal Banquet and it was not booked.  Really poor experience before arriving.  I so hope it improves when we get there.",Customer Service
"I am going to write this review before visiting and will write another after we have been.  This review is based on the website and information gathering.  I think the website is shockingly bad.  To be able to gather simple information like location of rides, where to meet Mickey and simple information.  Terrible.  I have called 3 times to book into the Disneyland Hotel and each time the call did not deliver what I wanted.  First time the call handler was very off hand and did not explain all aspects, the second call I booked but did not get an email confirming the booking, the third call, I tried to book the Royal Banquet and it was not booked.  Really poor experience before arriving.  I so hope it improves when we get there.",Planning Tips
"Excellent , again to come  with my family & friends , try to complete as much as rides which missed during the visit .",Family Experience
"Excellent , again to come  with my family & friends , try to complete as much as rides which missed during the visit .",Ride Experience
"The kids loved it and enjoyed every ride they slept like babies on the way home, also found it easy to access by train. Will defo come back",Ride Experience
"The kids loved it and enjoyed every ride they slept like babies on the way home, also found it easy to access by train. Will defo come back",Accessibility Issues
"The kids loved it and enjoyed every ride they slept like babies on the way home, also found it easy to access by train. Will defo come back",Family Experience
"I haven’t even been to Disneyland Paris yet however I want to comment on how poor Disney’s customer service is. I have booked a trip to the Davy Crockett ranch for may. After booking this I decided to add on character dining for breakfast. When I was making this booking the website had a glitch at the payment stage. I checked my emails to check if the payment went through and there was no confirmation email. So I tried to book it again and it was successful with confirmation straight away.Then I discovered Disney has charged me twice for the booking. However on the emails and account only shows 1 booking. I have been disputed this ever this. Almost 3 weeks and no resolution. I am £206.26 out of pocket which might not seem much for a billion pound company but for me it is. Every time I call or email they just fob me off saying it’s with the accounts department. I am shocked by the lack of efficiency or urgency from Disney. I don’t know when I’m getting my money back and making me second guess the holiday. Did not expect this, I thought it would be a first class service. If this happens to anyone else good luck.",Customer Service
"I love Disney and brought my kids up with beauty and the beast, Bambi and Mickey Mouse. Sadly I think I went there 20years too late and I didn’t get the whole magic thing. What’s the magic in queuing for hours for a 2 minute ride, standing in the cold for 30 minutes to meet a character and spending around 12/13 hours out each day with no real provision to relax. We spent a small fortune on food and hot drinks. The whole park runs like clockwork but it’s just so busy. Apparently according to the data we chose the quietest week to go ?? Really, it was packed everywhere so I dread what it’s like in peak season. I’ll keep watching the films but sadly I won’t be returning to the park",Magic Atmosphere
"I love Disney and brought my kids up with beauty and the beast, Bambi and Mickey Mouse. Sadly I think I went there 20years too late and I didn’t get the whole magic thing. What’s the magic in queuing for hours for a 2 minute ride, standing in the cold for 30 minutes to meet a character and spending around 12/13 hours out each day with no real provision to relax. We spent a small fortune on food and hot drinks. The whole park runs like clockwork but it’s just so busy. Apparently according to the data we chose the quietest week to go ?? Really, it was packed everywhere so I dread what it’s like in peak season. I’ll keep watching the films but sadly I won’t be returning to the park",Crowd Management
"I love Disney and brought my kids up with beauty and the beast, Bambi and Mickey Mouse. Sadly I think I went there 20years too late and I didn’t get the whole magic thing. What’s the magic in queuing for hours for a 2 minute ride, standing in the cold for 30 minutes to meet a character and spending around 12/13 hours out each day with no real provision to relax. We spent a small fortune on food and hot drinks. The whole park runs like clockwork but it’s just so busy. Apparently according to the data we chose the quietest week to go ?? Really, it was packed everywhere so I dread what it’s like in peak season. I’ll keep watching the films but sadly I won’t be returning to the park",Ride Experience
